movie_id,movie_title,year,original_language,genres,overview,keywords,cast,director,poster_path,vote_average,vote_count,popularity,soup
592508,Sooryavanshi,2021,hi,"Action, Crime, Thriller","A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.","police, sequel, police officer, cop universe","Akshay Kumar, Katrina Kaif, Javed Jaffrey, Kumud Mishra, Abhimanyu Singh, Nikitin Dheer, Jackie Shroff, Ajay Devgn",Rohit Shetty,/zgEc1Tn4iKvttPUzkMOUB4BNoXK.jpg,5.787,176,1.9979,a fearless faithful albeit slightly forgetful mumbai cop veer sooryavanshi the chief of the anti terrorism squad in india pulls out all the stops and stunts to thwart a major conspiracy to attack his city a fearless faithful albeit slightly forgetful mumbai cop veer sooryavanshi the chief of the anti terrorism squad in india pulls out all the stops and stunts to thwart a major conspiracy to attack his city a fearless faithful albeit slightly forgetful mumbai cop veer sooryavanshi the chief of the anti terrorism squad in india pulls out all the stops and stunts to thwart a major conspiracy to attack his city action crime thriller action crime thriller police sequel police officer cop universe police sequel police officer cop universe akshay kumar katrina kaif javed jaffrey kumud mishra abhimanyu singh nikitin dheer jackie shroff ajay devgn rohit shetty hi hi
581361,Badla,2019,hi,"Crime, Thriller, Mystery, Drama",A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,based on movie,"Amitabh Bachchan, Taapsee Pannu, Tony Luke, Amrita Singh, Manav Kaul, Tanveer Ghani, Denzil Smith, Mark Mansfield",Sujoy Ghosh,/eKpzbERuhogYTwI3PwfVsAHXnuO.jpg,7.2,167,1.987,a dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover she hires a prestigious lawyer to defend her and they work together to figure out what actually happened a dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover she hires a prestigious lawyer to defend her and they work together to figure out what actually happened a dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover she hires a prestigious lawyer to defend her and they work together to figure out what actually happened crime thriller mystery drama crime thriller mystery drama based on movie based on movie amitabh bachchan taapsee pannu tony luke amrita singh manav kaul tanveer ghani denzil smith mark mansfield sujoy ghosh hi hi
950071,Jaane Jaan,2023,hi,"Crime, Thriller, Drama","When a single mother her teenage daughter becomes ensnared in a deadly crime,  find an unexpected ally in their neighbor, a simple, doting but genius teacher math teacher comes to aid, while a tenacious cop digs into the case.",based on novel or book,"Kareena Kapoor Khan, Jaideep Ahlawat, Vijay Varma, Naisha Khanna, Saurabh Sachdeva, Ujjwal Chopra, Uttam Pradhan, Karma Takapa",Sujoy Ghosh,/oaUOV9VCNM5MjrmonqgH4o3XNwQ.jpg,7.094,112,1.9476,when a single mother her teenage daughter becomes ensnared in a deadly crime find an unexpected ally in their neighbor a simple doting but genius teacher math teacher comes to aid while a tenacious cop digs into the case when a single mother her teenage daughter becomes ensnared in a deadly crime find an unexpected ally in their neighbor a simple doting but genius teacher math teacher comes to aid while a tenacious cop digs into the case when a single mother her teenage daughter becomes ensnared in a deadly crime find an unexpected ally in their neighbor a simple doting but genius teacher math teacher comes to aid while a tenacious cop digs into the case crime thriller drama crime thriller drama based on novel or book based on novel or book kareena kapoor khan jaideep ahlawat vijay varma naisha khanna saurabh sachdeva ujjwal chopra uttam pradhan karma takapa sujoy ghosh hi hi
585268,War,2019,hi,"Action, Thriller, Adventure","Khalid, entrusted with the task of eliminating former soldier turned rogue Kabir, engages in an epic battle with his mentor who taught him everything.","friendship, chase, gun, italy, portugal, spy, traitor, two man army, karate, love, betrayal, shootout, one man army, explosion, india","Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana, Anupriya Goenka, Soni Razdan, Yash Raaj Singh, Dishita Sehgal",Siddharth Anand,/yUtaHkL2SDIAZhRApZAyQrAXygn.jpg,6.7,375,1.91,khalid entrusted with the task of eliminating former soldier turned rogue kabir engages in an epic battle with his mentor who taught him everything khalid entrusted with the task of eliminating former soldier turned rogue kabir engages in an epic battle with his mentor who taught him everything khalid entrusted with the task of eliminating former soldier turned rogue kabir engages in an epic battle with his mentor who taught him everything action thriller adventure action thriller adventure friendship chase gun italy portugal spy traitor two man army karate love betrayal shootout one man army explosion india friendship chase gun italy portugal spy traitor two man army karate love betrayal shootout one man army explosion india hrithik roshan tiger shroff vaani kapoor ashutosh rana anupriya goenka soni razdan yash raaj singh dishita sehgal siddharth anand hi hi
85985,Ek Tha Tiger,2012,hi,"Action, Thriller, Romance",A top Indian agent is sent to observe the actions of a scientist but the mission complicates when he falls in love with the scientist's Pakistani caretaker.,"spy, secret agent, romantic, tragic","Salman Khan, Katrina Kaif, Girish Karnad, Ranvir Shorey, Gavie Chahal, Roshan Seth, Rajendra Sethi, Ahran Chaudhary",Kabir Khan,/9qmIOiKLdlIRmdvPV6UmbUx9WFn.jpg,6.2,215,1.904,a top indian agent is sent to observe the actions of a scientist but the mission complicates when he falls in love with the scientist s pakistani caretaker a top indian agent is sent to observe the actions of a scientist but the mission complicates when he falls in love with the scientist s pakistani caretaker a top indian agent is sent to observe the actions of a scientist but the mission complicates when he falls in love with the scientist s pakistani caretaker action thriller romance action thriller romance spy secret agent romantic tragic spy secret agent romantic tragic salman khan katrina kaif girish karnad ranvir shorey gavie chahal roshan seth rajendra sethi ahran chaudhary kabir khan hi hi
17501,Don,2006,hi,"Action, Drama, Thriller","DCP DeSilva sees a way to bring to justice the feared head of a criminal empire by recruiting a man named Vijay, who looks exactly like the crime boss. The ruse works too well, and soon Vijay finds his life in danger when DeSilva, the only one who knows his true identity, dies.","drug trafficking, remake, doppelgänger","Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Boman Irani, Om Puri, Isha Koppikar, Pavan Malhotra, Rajesh Khattar",Farhan Akhtar,/4HyRXNJ4U3H5yP9XjeTGWtlUlJN.jpg,6.882,300,1.8847,dcp desilva sees a way to bring to justice the feared head of a criminal empire by recruiting a man named vijay who looks exactly like the crime boss the ruse works too well and soon vijay finds his life in danger when desilva the only one who knows his true identity dies dcp desilva sees a way to bring to justice the feared head of a criminal empire by recruiting a man named vijay who looks exactly like the crime boss the ruse works too well and soon vijay finds his life in danger when desilva the only one who knows his true identity dies dcp desilva sees a way to bring to justice the feared head of a criminal empire by recruiting a man named vijay who looks exactly like the crime boss the ruse works too well and soon vijay finds his life in danger when desilva the only one who knows his true identity dies action drama thriller action drama thriller drug trafficking remake doppelg nger drug trafficking remake doppelg nger shah rukh khan priyanka chopra jonas arjun rampal boman irani om puri isha koppikar pavan malhotra rajesh khattar farhan akhtar hi hi
19657,Baazigar,1993,hi,"Crime, Thriller",A young man with a vendetta against a business tycoon seduces and kills his eldest daughter and then proceeds to his younger daughter but she begins to suspect her new lover's ulterior motive.,,"Shah Rukh Khan, Kajol, Shilpa Shetty Kundra, Rakhee Gulzar, Dalip Tahil, Ananth Narayan Mahadevan, Dinesh Hingoo, Johny Lever",Abbas Alibhai Burmawalla,/ndQQ2bTV0JLSRxUBchE4eD3qhDb.jpg,6.8,128,1.879,a young man with a vendetta against a business tycoon seduces and kills his eldest daughter and then proceeds to his younger daughter but she begins to suspect her new lover s ulterior motive a young man with a vendetta against a business tycoon seduces and kills his eldest daughter and then proceeds to his younger daughter but she begins to suspect her new lover s ulterior motive a young man with a vendetta against a business tycoon seduces and kills his eldest daughter and then proceeds to his younger daughter but she begins to suspect her new lover s ulterior motive crime thriller crime thriller   shah rukh khan kajol shilpa shetty kundra rakhee gulzar dalip tahil ananth narayan mahadevan dinesh hingoo johny lever abbas alibhai burmawalla hi hi
363343,Raees,2017,hi,"Thriller, Action, Crime","Set in the early ’80s and ’90s in Gujarat, India, ‘Raees’ is a fictitious story of a crime lord named Raees, who builds an entire empire from scratch, and a police officer who is determined to bring him down.","bootlegger, bootlegging, period film","Shah Rukh Khan, Mahira Khan, Nawazuddin Siddiqui, Mohammed Zeeshan Ayyub, Sheeba Chaddha, Narendra Jha, Uday Tikekar, Anil Charanjeett",Rahul Dholakia,/zFYFUfnoXWxeA3n7v4acEqgk2iE.jpg,6.7,246,1.8757,set in the early 80s and 90s in gujarat india raees is a fictitious story of a crime lord named raees who builds an entire empire from scratch and a police officer who is determined to bring him down set in the early 80s and 90s in gujarat india raees is a fictitious story of a crime lord named raees who builds an entire empire from scratch and a police officer who is determined to bring him down set in the early 80s and 90s in gujarat india raees is a fictitious story of a crime lord named raees who builds an entire empire from scratch and a police officer who is determined to bring him down thriller action crime thriller action crime bootlegger bootlegging period film bootlegger bootlegging period film shah rukh khan mahira khan nawazuddin siddiqui mohammed zeeshan ayyub sheeba chaddha narendra jha uday tikekar anil charanjeett rahul dholakia hi hi
69537,Nanban,2012,ta,"Comedy, Drama","The plot of the film illustrates the embankment of two friends on a quest for a lost buddy, who was once an optimistic and successful student. On their journey, they recount their college life and special moments that the three shared up until their lost friend secretly parted ways after convocation. During their quest, the two encounter a rival classmate who once made a long forgotten bet with them, a funeral that goes impossibly out of control, and a wedding they must crash.","friendship, education","Vijay, Jiiva, Srikanth, Ileana D'Cruz, Sathyaraj, S. J. Suryah, Sathyan Sivakumar, Anuya Bhagvath",Shankar,/dmhPnvYQVtx4xS1dkA9trCpQXvY.jpg,7.1,64,6.0595,the plot of the film illustrates the embankment of two friends on a quest for a lost buddy who was once an optimistic and successful student on their journey they recount their college life and special moments that the three shared up until their lost friend secretly parted ways after convocation during their quest the two encounter a rival classmate who once made a long forgotten bet with them a funeral that goes impossibly out of control and a wedding they must crash the plot of the film illustrates the embankment of two friends on a quest for a lost buddy who was once an optimistic and successful student on their journey they recount their college life and special moments that the three shared up until their lost friend secretly parted ways after convocation during their quest the two encounter a rival classmate who once made a long forgotten bet with them a funeral that goes impossibly out of control and a wedding they must crash the plot of the film illustrates the embankment of two friends on a quest for a lost buddy who was once an optimistic and successful student on their journey they recount their college life and special moments that the three shared up until their lost friend secretly parted ways after convocation during their quest the two encounter a rival classmate who once made a long forgotten bet with them a funeral that goes impossibly out of control and a wedding they must crash comedy drama comedy drama friendship education friendship education vijay jiiva srikanth ileana d cruz sathyaraj s j suryah sathyan sivakumar anuya bhagvath shankar ta ta
927342,Amaran,2024,ta,"Action, Drama, Adventure, War","A heroic true story of Major Mukund Varadarajan, an Indian Army officer who displayed extraordinary bravery during a counterterrorism mission in Kashmir’s Shopian district. The film captures his courage in protecting his nation and the devotion of his wife Indhu Rebecaa Varghese.","based on novel or book, affectation, based on true story, martyr, indian army, counterterrorism, loving, 2010s, indian history, admiring, hopeful, based on real person, ashoka chakra, indian military","Sivakarthikeyan, Sai Pallavi, Rahul Bose, Bhuvan Arora, Lallu Prasath, Shyam Mohan, Mir Salman, Shyamaprasad",Rajkumar Periasamy,/eCB06m1KUGilEOlIzb40nkQhVY0.jpg,7.356,253,4.0608,a heroic true story of major mukund varadarajan an indian army officer who displayed extraordinary bravery during a counterterrorism mission in kashmir s shopian district the film captures his courage in protecting his nation and the devotion of his wife indhu rebecaa varghese a heroic true story of major mukund varadarajan an indian army officer who displayed extraordinary bravery during a counterterrorism mission in kashmir s shopian district the film captures his courage in protecting his nation and the devotion of his wife indhu rebecaa varghese a heroic true story of major mukund varadarajan an indian army officer who displayed extraordinary bravery during a counterterrorism mission in kashmir s shopian district the film captures his courage in protecting his nation and the devotion of his wife indhu rebecaa varghese action drama adventure war action drama adventure war based on novel or book affectation based on true story martyr indian army counterterrorism loving 2010s indian history admiring hopeful based on real person ashoka chakra indian military based on novel or book affectation based on true story martyr indian army counterterrorism loving 2010s indian history admiring hopeful based on real person ashoka chakra indian military sivakarthikeyan sai pallavi rahul bose bhuvan arora lallu prasath shyam mohan mir salman shyamaprasad rajkumar periasamy ta ta
